prompt,tier,domain
Count the number of lines in this text: Line1 Line2 Line3,1,data
Extract the punctuation from this text: Hello! How are you?,1,data
Is this a complete sentence? Running quickly. Answer yes or no.,1,customer_support
Convert this percentage to decimal: 75%,1,data
Extract the day of week from this date: 2024-01-15,1,data
Reformat this phone number to international format: 555-123-4567,1,data
Count the number of digits in this string: abc123xyz456,1,data
Extract the subject from this email: RE: Meeting Tomorrow at 3pm,1,customer_support
Is this word a noun? happiness. Answer yes or no.,1,customer_support
Convert this text to title case: the quick brown fox,1,data
Extract the prefix from this number: +1-555-123-4567,1,data
"Reformat this list to remove duplicates: apple, banana, apple, orange",1,data
Count the number of unique words in: cat cat dog dog bird,1,data
Extract the time from this timestamp: 2024-01-15 14:30:00,1,data
Is this an adjective? beautiful. Answer yes or no.,1,customer_support
Convert this scientific notation to decimal: 3.5e3,1,data
Extract the IP address from: Server at 192.168.1.1,1,data
"Reformat this text to remove punctuation: Hello, World!",1,data
"Summarize the following paragraph in exactly 2 sentences: Artificial intelligence has transformed how companies operate, enabling automation of repetitive tasks, faster data analysis, and more personalised customer experiences. However, the rapid adoption of AI also raises concerns about job displacement, data privacy, and the concentration of power in the hands of a few large technology companies.",2,analysis
"Classify this customer message into one of: complaint, question, compliment, or feature_request. Message: Your app keeps crashing whenever I try to export a PDF. This is really frustrating I have lost work twice now.",2,customer_support
Translate the following sentence to French: The meeting has been rescheduled to Thursday at 3pm. Please update your calendars accordingly.,2,analysis
"Extract all named entities people, organisations, locations from this text and list them by category: Elon Musk announced that Tesla will open a new Gigafactory in Mexico City next year, in partnership with the Mexican government and local supplier Grupo Industrial Saltillo.",2,data
"Summarize this article in 3 bullet points: Climate change is accelerating at an alarming rate, with global temperatures rising faster than predicted. Scientists warn that without immediate action, we will see catastrophic consequences by 2050. However, renewable energy technologies are advancing rapidly and becoming more affordable, offering a path forward.",2,analysis
"Classify this sentiment as positive, negative, or neutral: The product is decent, but I expected better customer support. The software works fine though.",2,analysis
"Translate this paragraph to Spanish: Our company values diversity, inclusion, and innovation. We are committed to creating a workplace where everyone can thrive and contribute their unique perspectives.",2,analysis
"Extract the main topic and 3 supporting subtopics from this text: Machine learning has three main types: supervised learning, unsupervised learning, and reinforcement learning. Supervised learning uses labeled data. Unsupervised learning finds patterns in unlabeled data. Reinforcement learning learns through trial and error.",2,data
"Write a short product description based on these features: AI-powered chatbot, 24/7 support, multi-language, integrates with Slack and Teams",2,content
"Classify each sentence in this review as positive or negative: The service was excellent. The staff were friendly. However, the food was disappointing. The prices were reasonable.",2,analysis
Identify the sentiment of each sentence in this review: Great service! The staff were amazing. But the wait time was too long. I will come back though.,2,analysis
Summarize this customer feedback in one sentence: I have been using this product for years and it is consistently reliable. Never had any major issues. Customer support is always helpful when I need them.,2,customer_support
"Extract the key requirements from this job description: We are looking for a Python developer with 5+ years of experience, expertise in machine learning, and strong communication skills.",2,analysis
"Classify this news headline as technology, business, or politics: New AI breakthrough promises to revolutionize healthcare diagnostics",2,analysis
Translate this instruction to German: Please click the blue button to submit your application. You will receive a confirmation email within 24 hours.,2,customer_support
"Write a summary of these meeting notes: Discussed Q4 targets, reviewed marketing strategy, decided to launch new product in January, allocated budget for advertising",2,analysis
Extract the action items from this email: John: please prepare the Q3 report. Sarah: schedule team meeting. Mark: update the website content.,2,data
"Classify the tone of this message as formal or informal: Hey team, quick update on the project we are making great progress! Lets sync up tomorrow.",2,analysis
Identify the main argument in this text: Remote work increases productivity and employee satisfaction. Companies that embrace remote work see lower turnover rates.,2,analysis
Summarize this technical document in 3 sentences: The API uses RESTful architecture with JSON payloads. Authentication is handled via JWT tokens. Rate limiting is implemented at 100 requests per minute.,2,analysis
"Extract the data types from this schema: name: string, age: integer, email: string, active: boolean",2,data
Write a 2-sentence summary of this product review: This laptop is incredibly fast and has amazing battery life. The only downside is the fan noise when running intensive applications.,2,content
"Classify these customer feedback items as positive or negative: Love the product!, Shipping was slow., Customer service resolved my issue quickly.",2,customer_support
Translate this technical text to Spanish: The system uses a microservices architecture with Kubernetes orchestration. Each service is independently deployable and scalable.,2,analysis
"Extract the causes and effects from this text: The lack of rain caused crop failures, which led to food shortages and increased prices.",2,analysis
"Summarize this financial report in 2 sentences: Revenue grew 15% year over year, driven by increased sales in the Asia-Pacific region. Operating expenses also rose 8% due to marketing investments.",2,analysis
Identify the key stakeholders in this project update: Marketing team will handle the launch campaign. Engineering will deliver the product features. Sales will prepare the pricing strategy.,2,analysis
Write a concise summary of this research abstract: We present a novel approach to natural language understanding using transformer architectures. Our model achieves state-of-the-art performance on benchmark datasets.,2,analysis
Extract the comparison points from this text: Product A is cheaper but has fewer features. Product B is more expensive but offers better performance and customer support.,2,analysis
Classify the intent of this customer message: I want to return my order and get a refund. The product is defective.,2,customer_support
Summarize this news article in 2 sentences: The company announced a new product line targeting sustainable energy solutions. The stock price rose 5% following the announcement.,2,analysis
"Extract the pros and cons from this review: The software is user-friendly and feature-rich, but it is expensive and requires a steep learning curve.",2,analysis
"Write a brief description of this product category: Smart home devices including thermostats, cameras, and lighting systems that can be controlled remotely.",2,content
Summarize this news article in 2 sentences: Tech stocks rally as AI demand surges,2,analysis
Classify this customer feedback as positive or negative: The product works but is overpriced,2,customer_support
"Extract the main points from this meeting transcript: Discussed Q4 targets, marketing strategy, and budget",2,analysis
Translate this message to Spanish: Please confirm your attendance for the meeting,2,customer_support
"Identify the sentiment of these reviews: Great service!, Poor quality., Decent product.",2,analysis
Write a short description of this product: Wireless headphones with noise cancellation,2,content
"Extract the requirements from this job posting: Python developer, 5+ years, ML experience",2,analysis
"Classify these emails as spam or not spam: Get rich quick!, Meeting agenda attached",2,data
Summarize this technical document: API authentication uses JWT tokens with rate limiting,2,analysis
"Group these customer complaints by category: Shipping delay, Wrong item, Customer service rude",2,customer_support
"Extract action items from: John will update the website, Sarah will schedule the meeting",2,data
Write a brief summary of this research: Study shows link between sleep and productivity,2,analysis
Translate this business email to French: We are pleased to announce our new partnership,2,customer_support
"Identify key stakeholders from: Marketing will launch, Engineering will deliver, Sales will price",2,analysis
"Extract the comparison points: Product A cheaper, Product B faster, Product C more features",2,analysis
"Summarize this feedback in 2 sentences: Great product, but shipping took too long and support was slow",2,customer_support
"Classify this text as formal or informal: Hey team, lets meet tomorrow to discuss the project",2,analysis
Extract the date and location from: Meeting scheduled for Jan 15th at the main office,2,data
"Write a summary of these meeting minutes: Decided to launch in March, budget approved, hiring 3 engineers",2,analysis
Identify the cause and effect: Late delivery caused customer complaints and lost sales,2,analysis
"Extract the pros and cons from: Product is affordable but lacks features, has good reviews but poor support",2,analysis
"Summarize this customer interaction: Customer called about refund, agent processed it, customer satisfied",2,customer_support
Translate this legal text to plain English: The party of the first part hereby agrees to indemnify...,2,analysis
"Extract key metrics from: Revenue grew 15%, costs decreased 8%, profit increased 22%",2,data
Write a short description of this feature: One-click checkout with saved payment methods,2,content
"Classify these support tickets by priority: Site down, Password reset, Billing question",2,customer_support
Extract the main argument: Remote work improves productivity and reduces costs,2,analysis
"Summarize this code review feedback: Good implementation, but needs better error handling and tests",2,coding
"Identify the key differences: Python is interpreted, C++ is compiled, Java is both",2,analysis
"Write a summary of this product comparison: MacBook Pro: expensive, powerful; Dell XPS: cheaper, good performance",2,content
"Extract the author and publication date from: John Smith, 2024-01-15, The Future of AI",2,data
"Classify these tasks by difficulty: Extract date, Write code, Analyze market",2,analysis
Translate this error message to user-friendly: Exception: Connection refused on port 8080,2,customer_support
"Extract the key points from: AI helps in healthcare, education, and business automation",2,analysis
Write a brief description of this service: 24/7 customer support with response time under 5 minutes,2,content
"Summarize this performance review: Excellent work on project A, needs improvement on project B",2,analysis
"Extract the dates from: Project starts Jan 1st, first review Feb 15th, launch Mar 1st",2,data
"Classify these news headlines by topic: New AI model released, Stock market rises, Weather warning",2,analysis
"Write a short summary of this job description: Looking for a data scientist with Python, SQL, and ML skills",2,content
"Extract the requirements from this specification: Must be scalable, secure, and user-friendly",2,analysis
"Analyze the competitive landscape for EV batteries and recommend a market entry strategy. Consider current players, cost trends, and geographic opportunities.",3,analysis
"Write a Python function called parse_nested_config that: 1) Accepts a nested dict of arbitrary depth, 2) Flattens it into a single-level dict using dot notation for keys, 3) Handles lists by indexing them. Include type hints and a docstring.",3,coding
"What are the second-order economic consequences of widespread LLM adoption in knowledge work? Consider effects on wage levels for different skill brackets, the market for junior professional roles, and productivity growth distribution.",3,analysis
"Compare the trade-offs between microservices and a monolith for a startup building a B2B SaaS product. Consider team size of 5 engineers, expected scale of 10k users in year 1, and the need to ship quickly. Provide a clear recommendation with reasoning.",3,analysis
Critique this business plan and identify the three biggest risks: We will build an AI-powered platform that connects freelancers with businesses. Our competitive advantage is our proprietary matching algorithm. We plan to capture 10% market share in year one.,3,analysis
Explain how attention mechanisms work and why they replaced RNNs in modern NLP architectures. Include the mathematical intuition and practical benefits.,3,analysis
"Write a complete React component that implements a search bar with debouncing. Include proper state management, API integration, and error handling.",3,coding
"Design a data pipeline for processing 1TB of customer transactions daily. Consider ingestion, transformation, storage, and serving layers. Include technology recommendations and cost considerations.",3,analysis
"Evaluate whether this company should invest in an AI research lab or partner with an existing AI provider. Consider budget of 5M, timeline of 2 years, and competitive landscape.",3,analysis
Write a recursive function to traverse a tree structure and collect all leaf nodes with their full path. Include type hints and comprehensive docstring with complexity analysis.,3,coding
"Analyze the ethical implications of using AI for hiring decisions. Consider bias, transparency, privacy, and accountability. Propose a framework for responsible AI hiring.",3,analysis
"Design a system architecture for a real-time recommendation engine that handles 10,000 concurrent users. Include load balancing, caching strategy, and data storage decisions.",3,coding
"Compare the effectiveness of different interpretability methods for deep learning models: SHAP, LIME, Integrated Gradients. When would you use each one?",3,analysis
Write a Python class that implements a thread-safe rate limiter with token bucket algorithm. Include methods for consuming tokens and checking remaining quota.,3,coding
"Develop a strategy for migrating a legacy monolith to microservices. Consider database separation, communication patterns, and deployment strategies.",3,analysis
What are the long-term second-order implications of this policy: All companies with over 100 employees must use carbon offsets for business travel,3,analysis
"Write a SQL query to analyze customer churn patterns with cohort analysis. Include monthly retention rates, cohort grouping, and visualization recommendations.",3,coding
Propose a research agenda for the next 5 years in AI safety. Identify the most pressing risks and proposed mitigation strategies.,3,analysis
"Design an experiment to test whether language models exhibit political bias. Include hypotheses, methodology, evaluation metrics, and statistical analysis plan.",3,analysis
"Write a production-ready Dockerfile for a FastAPI application with health checks, multi-stage builds, and proper dependency caching.",3,coding
"Analyze the impact of GDPR on machine learning systems in production. Consider data storage, model training, inference, and user rights.",3,analysis
"Design a CI/CD pipeline for an ML system. Include data validation, model training, testing, deployment, and monitoring strategies.",3,coding
"Evaluate whether a startup should use open-source or closed-source LLMs. Consider cost, performance, privacy, and regulatory requirements.",3,analysis
"Write a comprehensive error handling strategy for a distributed system. Include retry policies, circuit breakers, fallbacks, and monitoring.",3,coding
"Create a cost optimization strategy for a company spending 100k per month on LLM APIs. Consider prompt engineering, model selection, and caching.",3,analysis
"What are the challenges and solutions for deploying ML models in production with low latency requirements? Discuss quantization, distillation, and hardware acceleration.",3,analysis
"Write a Python function to validate and sanitize user input for a web application. Include SQL injection prevention, XSS protection, and file upload validation.",3,coding
"Design an evaluation framework for LLM-powered applications. Include metrics, human evaluation protocols, and continuous monitoring strategies.",3,analysis
"Analyze the impact of Generative AI on the future of software engineering. Consider productivity gains, job roles, and skill requirements.",3,analysis
"Write a Kubernetes deployment configuration for a machine learning serving service. Include resource limits, liveness probes, scaling rules, and secrets management.",3,coding
"Develop a comprehensive testing strategy for machine learning models. Include unit tests, integration tests, model validation, and data quality checks.",3,analysis
"Compare the performance and use cases of different embedding models: Word2Vec, GloVe, BERT, and sentence transformers.",3,analysis
Write a Python script that implements a basic recommendation system using collaborative filtering with matrix factorization.,3,coding
"Analyze the security implications of using third-party AI APIs. Consider data privacy, model poisoning, and vendor lock-in.",3,analysis
"Design a disaster recovery strategy for a cloud-based AI service. Include backup frequency, RTO/RPO targets, and testing procedures.",3,analysis
"Write a GraphQL API for a customer management system with proper authentication, authorization, and pagination.",3,coding
"Develop a methodology for quantifying uncertainty in LLM outputs. Consider calibration, confidence scores, and human oversight.",3,analysis
"What are the key challenges in training language models on code? Discuss dataset construction, evaluation metrics, and specific architectural considerations.",3,analysis
"Write a distributed training configuration for a transformer model on 8 GPUs. Include data parallelism, model parallelism, and gradient accumulation.",3,coding
"Design a quality assurance framework for a chatbot that handles customer service requests. Include testing scenarios, automated evaluation, and human review.",3,analysis
Design a distributed caching strategy for a microservices architecture handling 10k requests per second,3,coding
"Compare the effectiveness of different prompt engineering techniques: chain-of-thought, few-shot, and zero-shot",3,analysis
Analyze the regulatory implications of using AI for healthcare diagnostics in the EU and US markets,3,analysis
Design a multi-tenant architecture for a SaaS platform with strict data isolation requirements,3,coding
Evaluate the trade-offs between using a relational database vs NoSQL for a social media application,3,analysis
